SecurityID,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
600013.SH,-8.212826706051248e-08,2.6203218751159753e-08,0.9999563364147676,3.365330087997097e-07,4.0403935962982253e-07,1.4942200959989682e-07,-1.192866949666736e-07,1.6666511546213646e-06,3.171960118826725e-07,-2.3327259516263126e-06,1.1377634761856626e-06,-0.009344794705210215,-5.8660770164666915e-06,1.8784885112118286e-06,5.235479640555691e-06,7.671891045133067e-07
600014.SH,-0.003977068423267045,9.410332911657835e-05,0.009572578012236613,0.004276299401255682,0.016998581578628193,0.015083322783939522,-0.0325782135604337,0.04321196355041069,0.03266693513428753,-0.050128953464959006,0.10371393023801355,0.11487177178067112,-0.6312864434301438,-0.11002554208950545,0.6070879077972668,0.4355606910890276
600015.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600016.SH,-0.00793088500512645,0.001039464495811991,0.019200626487902394,0.020425863896110782,0.028240085408808725,0.03160803309468586,-0.0485809428278714,0.11054944364057177,0.005786051980127759,-0.16548994494692776,0.13664128629570724,0.1426089103919862,-0.7917101158921974,0.050892381177631854,0.478894300729117,0.24001884690433373
600017.SH,0.009675752326870532,-0.0009016478597373988,-0.02211832587910391,-0.01618882026268668,-0.02614504874144786,-0.007153869748195209,0.07552345263784613,-0.10956443734709694,-0.01773252841160754,0.12244870472567314,-0.13865784739232268,-0.13894422076014096,0.7613481104125726,-0.030064112224268004,-0.4252751546866646,-0.40676528011358937
600018.SH,0.9999999991724735,6.969036371864322e-09,7.601197493576942e-07,2.999943658943689e-07,1.2109606341052297e-06,9.848612410579832e-07,-2.0081631817686526e-06,2.5765265120216343e-06,1.9152181246532466e-06,-2.850409843476602e-06,5.957590403188616e-06,6.1359268937517985e-06,-2.7077385286358185e-05,-4.555564821312994e-06,2.4134512035927584e-05,1.4830020768306807e-05
600019.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600020.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600021.SH,-0.0059993269753929,0.00014444437367239468,0.01417044287511703,0.006041801810523612,0.02386975055495043,0.020230728690243827,-0.04197072117035091,0.055418971588719904,0.041175314155381074,-0.06283118793189767,0.12890842963151553,0.13678360387499966,-0.6564935526894878,-0.11008250841577584,0.6008754887996884,0.38573466600087003
600022.SH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600023.SH,-0.0069814433285383965,0.00016619096296976969,0.016344434861388833,0.006781627149859529,0.026820317256307055,0.02228652851399826,-0.045665988850564054,0.05990544039853173,0.0442557458393615,-0.06722602839803345,0.137977422470423,0.1441998515229072,-0.6622665179880667,-0.11003807076783438,0.597035740976451,0.37320472614836175
600024.SH,3.925956298950987e-10,-9.133659725129979e-12,-1.0336858596365297e-09,-6.410096136138858e-10,-2.6689863469348963e-09,-4.33897458891644e-09,1.9628459050859315e-08,-3.882264787955968e-08,0.9999999999999739,-1.3872826201630225e-07,1.6002844780539452e-07,3.3761245412642446e-08,-4.982208083234908e-08,-7.22226978685837e-09,3.6966157234440425e-08,1.7218085587310533e-08
